Food,Calories (kcal),Protein (g),Fat (g),Carbs (g),Fiber (g)
Clams,102.3529411764706,14.117647058823529,1.1764705882352942,2.3529411764705883,0.0
Cod,170.0,28.0,5.0,0.0,0.0
Crab meat,105.88235294117648,16.47058823529412,2.3529411764705883,1.1764705882352942,0.0
Fish sticks fried,178.57142857142858,16.964285714285715,8.928571428571429,7.142857142857143,0.0
Flounder,200.0,30.0,8.0,0.0,0.0
Haddock,158.82352941176472,18.823529411764707,5.882352941176471,7.0588235294117645,0.0
Halibut,182.0,26.0,8.0,0.0,0.0
Herring,211.0,22.0,13.0,0.0,0.0
Lobster,92.0,18.0,1.0,0.0,0.0
Mackerel,182.3529411764706,21.176470588235293,10.588235294117647,0.0,0.0
Oysters,100.43478260869566,100.8695652173913,101.30434782608695,102.6086956521739,102.17391304347825
Oyster stew,147.05882352941177,22.35294117647059,7.0588235294117645,0.0,0.0
Salmon,141.1764705882353,20.0,5.882352941176471,0.0,0.0
Sardines,211.76470588235296,25.88235294117647,10.588235294117647,0.0,0.0
Scallops,104.0,18.0,8.0,10.0,0.0
Shad,200.0,23.529411764705884,11.764705882352942,0.0,0.0
Shrimp,129.41176470588235,27.058823529411764,1.1764705882352942,0.0,0.0
Swordfish,180.0,27.0,6.0,0.0,0.0
Tuna,200.0,29.411764705882355,8.23529411764706,0.0,0.0
Artichoke,844.0,2.0,0.0,10.0,2.0
Asparagus,18.75,1.0416666666666667,0.0,3.125,0.5208333333333334
Beans,20.0,0.8,0.0,4.800000000000001,0.6400000000000001
Lima,87.5,5.0,0.0,15.0,1.875
"Lima, dry, cooked",135.41666666666669,8.333333333333334,0.0,25.0,1.0416666666666667
"Navy, baked with pork",125.0,5.5,3.0,18.5,1.0
Red kidney,88.46153846153847,5.769230769230769,0.38461538461538464,16.153846153846153,0.9615384615384616
Bean sprouts,34.0,2.0,0.0,6.0,0.6
Beet greens,27.0,2.0,0.0,6.0,1.4
Beetroots,0.6060606060606061,7.272727272727273,0.0,0.48484848484848486,0.0
Broccoli,30.0,3.333333333333333,0.0,5.333333333333333,1.2666666666666666
Brussels sprouts,46.15384615384615,4.615384615384616,0.0,9.230769230769232,1.3076923076923077
Sauerkraut,21.333333333333332,0.6666666666666666,0.0,4.666666666666666,0.7999999999999999
Steamed cabbage,23.529411764705884,1.1764705882352942,0.0,5.294117647058823,0.7647058823529412
Carrots,30.0,0.6666666666666666,0.0,6.666666666666666,0.6
"Raw, grated",40.90909090909091,0.9090909090909091,0.0,9.09090909090909,1.0909090909090908
"Strips, from raw",40.0,0.0,0.0,10.0,1.0
Cauliflower,25.0,2.5,0.0,5.0,0.8333333333333334
Celery,20.0,1.0,0.0,4.0,1.0
Stalk raw,12.5,2.5,0.0,2.5,0.75
Chard steamed,20.0,1.3333333333333333,0.0,4.666666666666666,0.9333333333333332
Collards,34.0,3.333333333333333,0.0,5.333333333333333,1.3333333333333333
Corn,92.0,3.0,1.0,21.0,0.8
cooked or canned,85.0,2.5,0.0,20.5,0.8
Cucumbers,12.0,0.0,0.0,2.0,0.4
Dandelion greens,44.44444444444444,2.7777777777777777,0.5555555555555556,8.88888888888889,1.777777777777778
Eggplant,16.666666666666668,1.1111111111111112,0.0,5.0,0.5555555555555556
Endive,17.543859649122805,1.7543859649122806,0.0,3.508771929824561,1.0526315789473684
Kale,40.90909090909091,3.6363636363636362,0.9090909090909091,7.2727272727272725,0.8181818181818181
Kohlrabi,28.571428571428573,1.4285714285714286,0.0,6.428571428571429,1.0714285714285714
"Lambs quarters, steamed",32.0,3.333333333333333,0.0,4.666666666666666,2.1333333333333333
Lentils,106.0,7.5,0.0,19.0,1.2
Lettuce,14.0,1.0,0.0,2.0,0.5
Iceberg,13.0,0.0,0.0,3.0,0.5
Mushrooms canned,10.0,1.6666666666666667,0.0,3.3333333333333335,0.0
Mustard greens,21.42857142857143,2.142857142857143,0.0,4.285714285714286,0.8571428571428571
Okra,32.0,1.0,0.0,7.0,1.0
Onions,38.095238095238095,0.9523809523809523,0.0,8.571428571428571,0.7619047619047619
"Raw, green",44.0,0.0,0.0,10.0,2.0
Parsley,4.0,0.0,0.0,0.0,0.0
Parsnips,61.29032258064516,1.2903225806451613,0.6451612903225806,14.193548387096774,1.935483870967742
Peas,66.0,3.0,0.0,13.0,0.1
"Fresh, steamed peas",70.0,5.0,0.0,12.0,2.2
Frozen peas,0.0,5.0,0.0,12.0,1.8
Split cooked peas,115.0,8.0,0.0,21.0,0.4
heated peas,53.0,3.0,0.0,10.0,1.0
Peppers canned,26.315789473684212,0.0,0.0,5.2631578947368425,0.0
"Peppers Raw, green, sweet",25.0,1.0,0.0,6.0,1.4
Peppers with beef and crumbs,170.0,12.666666666666666,6.0,16.0,0.6666666666666666
"Potatoes, baked",100.0,2.0,0.0,22.0,0.5
French-fried,258.33333333333337,1.6666666666666667,11.666666666666668,33.333333333333336,0.6666666666666667
Potatoes Mashed with milk and butter,115.0,2.0,6.0,14.0,0.35
"Potatoes, pan-tried",268.0,4.0,14.0,33.0,0.4
Scalloped with cheese potatoes,145.0,6.0,8.0,14.0,0.4
Steamed potatoes before peeling,80.0,2.0,0.0,19.0,0.4
Potato chips,550.0,5.0,35.0,50.0,0.0
Radishes,20.0,0.0,0.0,4.0,0.6
Rutabagas,32.0,0.0,0.0,8.0,1.4
Soybeans,130.0,11.0,5.5,10.0,1.6
Spinach,26.0,3.0,0.0,3.0,1.0
Squash,16.666666666666664,0.47619047619047616,0.0,3.8095238095238093,0.2857142857142857
"Winter, mashed",47.5,2.0,0.0,11.5,1.3
Sweet potatoes,140.9090909090909,1.8181818181818181,0.9090909090909091,32.72727272727273,0.9090909090909091
Candied,134.28571428571428,1.1428571428571428,3.4285714285714284,45.71428571428571,0.8571428571428571
Tomatoes,20.833333333333336,0.8333333333333334,0.0,3.75,0.4166666666666667
"Raw, 2 by 2 1/2",20.0,0.6666666666666666,0.0,4.0,0.39999999999999997
Tomato juice,20.833333333333336,0.8333333333333334,0.0,4.166666666666667,0.25
Tomato catsup,88.23529411764707,0.0,0.0,23.529411764705884,0.0
Turnip greens,31.03448275862069,2.7586206896551726,0.6896551724137931,5.517241379310345,1.2413793103448276
"Turnips, steamed",25.806451612903224,0.6451612903225806,0.0,5.806451612903226,1.1612903225806452
"Watercress stems, raw",18.0,2.0,0.0,2.0,0.6
Apple juice canned,50.0,0.0,0.0,13.600000000000001,0.0
Apple vinegar,14.0,0.0,0.0,3.0,0.0
"Apples, raw",53.84615384615385,0.0,0.0,13.846153846153847,0.7692307692307693
Stewed or canned,41.66666666666667,0.0,0.0,10.833333333333334,0.8333333333333334
Apricots,88.0,0.8,0.0,22.8,0.4
"Dried, uncooked",293.3333333333333,5.333333333333333,0.0,66.66666666666666,1.3333333333333333
Fresh,48.24561403508772,0.8771929824561403,0.0,12.280701754385964,0.6140350877192982
"Nectar, or juice",56.0,0.4,0.0,14.4,0.8
Avocado,171.2962962962963,1.8518518518518519,16.666666666666668,5.555555555555555,1.6666666666666667
Banana,56.666666666666664,0.6666666666666666,0.0,15.333333333333332,0.6
Blackberries,59.02777777777778,1.3888888888888888,0.6944444444444444,13.194444444444445,4.583333333333333
Blueberries,98.0,0.4,0.0,26.0,0.8
Cantaloupe,10.526315789473683,0.2631578947368421,0.0,2.3684210526315788,0.5789473684210527
Cherries,38.91050583657588,0.7782101167315175,0.38910505836575876,10.116731517509727,0.7782101167315175
"Fresh, raw",57.017543859649116,0.8771929824561403,0.0,13.157894736842104,0.7017543859649122
Cranberry sauce sweetened,191.33574007220219,0.0,0.0,51.26353790613719,0.4332129963898917
Dates,283.70786516853934,2.247191011235955,0.0,75.2808988764045,2.0224719101123596
Figs,285.7142857142857,4.761904761904762,0.0,71.42857142857143,4.523809523809524
"Fresh, raw figs",78.94736842105263,1.7543859649122806,0.0,19.298245614035086,0.8771929824561403
figs Canned with syrup ,113.04347826086956,0.8695652173913043,0.0,27.82608695652174,0.8695652173913043
"Fruit cocktail, canned",76.171875,0.390625,0.0,19.53125,0.1953125
Grapefruit sections,68.0,0.4,0.0,17.6,0.2
"Grapefruit, fresh, 5"" diameter",17.543859649122805,0.3508771929824561,0.0,4.912280701754385,0.3508771929824561
Grapefruit juice,40.0,0.4,0.0,9.600000000000001,0.4
Grapes,45.751633986928105,0.6535947712418301,0.0,10.457516339869281,0.5228758169934641
"European, as Muscat, Tokay",62.5,0.625,0.0,16.25,0.4375
Grape juice,64.0,0.4,0.0,16.8,0.0
Lemon juice,24.0,0.0,0.0,8.0,0.0
Lemonade concentratefrozen,195.45454545454544,0.0,0.0,50.90909090909091,0.0
Limeade concentrate frozen,185.7798165137615,0.0,0.0,49.54128440366973,0.0
Olives large,110.76923076923077,1.5384615384615385,15.384615384615385,4.615384615384616,1.2307692307692308
OlivesRipe,161.53846153846155,1.5384615384615385,20.0,1.5384615384615385,1.5384615384615385
"Oranges 3"" diameter",33.333333333333336,1.1111111111111112,0.0,8.88888888888889,0.5555555555555556
Orange juice,44.800000000000004,0.8,0.0,10.0,0.08000000000000002
Frozen ,157.14285714285714,0.9523809523809523,0.0,37.14285714285714,0.19047619047619047
Papaya,37.5,0.5,0.0,9.0,0.9
Peaches,77.82101167315176,0.38910505836575876,0.0,20.233463035019454,0.38910505836575876
"Fresh, raw",30.70175438596491,0.8771929824561403,0.0,8.771929824561402,0.5263157894736842
Pears,76.47058823529412,0.39215686274509803,0.0,19.607843137254903,0.7843137254901961
"Raw, 3 by 2V",54.94505494505495,0.5494505494505495,0.5494505494505495,13.736263736263737,1.098901098901099
Persimmons,60.0,0.8,0.0,16.0,1.6
Pineapple,77.8688524590164,0.0,0.0,21.311475409836067,0.3278688524590164
Pineapple Crushed,78.84615384615385,0.38461538461538464,0.0,21.153846153846153,0.2692307692307692
"Raw, diced",53.57142857142857,0.7142857142857143,0.0,13.571428571428571,0.42857142857142855
Pineapple juice,48.0,0.4,0.0,12.8,0.08000000000000002
Plums,72.265625,0.390625,0.0,19.53125,0.2734375
"Raw, 2"" diameter",50.0,0.0,0.0,11.666666666666668,0.33333333333333337
Prunes,111.1111111111111,1.1111111111111112,0.37037037037037035,30.0,0.2962962962962963
Prune juice,70.83333333333334,0.4166666666666667,0.0,18.75,0.2916666666666667
Raisins,261.3636363636364,2.272727272727273,0.0,93.18181818181819,0.7954545454545455
Raspberries,100.0,0.0,0.0,25.0,2.0
"Raw, red",57.0,0.0,0.0,14.0,5.0
Rhubarb sweetened,142.59259259259258,0.37037037037037035,0.0,36.2962962962963,0.7037037037037036
Strawberries,106.6079295154185,0.44052863436123346,0.0,26.431718061674008,0.5726872246696035
Raw,36.241610738255034,0.0,0.0,8.053691275167786,1.2751677852348993
Tangerines,35.08771929824561,0.8771929824561403,0.0,8.771929824561402,0.8771929824561403
Watermelon,12.972972972972974,0.21621621621621623,0.10810810810810811,3.135135135135135,0.3891891891891892
Biscuits,342.10526315789474,7.894736842105264,10.526315789473685,47.36842105263158,0.0
Bran flakes,468.0,12.0,0.0,128.0,0.4
"Bread, cracked wheat",260.8695652173913,8.695652173913043,4.3478260869565215,52.17391304347826,0.43478260869565216
Rye,239.1304347826087,8.695652173913043,4.3478260869565215,52.17391304347826,0.43478260869565216
"White, 20 slices, or",269.8237885462555,8.590308370044053,3.303964757709251,50.44052863436123,1.9823788546255505
Whole-wheat,242.2907488986784,10.572687224669604,3.0837004405286343,47.57709251101321,14.867841409691628
Whole-wheat,239.1304347826087,8.695652173913043,4.3478260869565215,47.826086956521735,1.3478260869565217
Corn bread ground meal,200.0,6.0,8.0,30.0,0.6
Cornflakes,440.0,8.0,0.0,100.0,0.4
Corn grits cooked,49.586776859504134,3.3057851239669422,0.0,11.15702479338843,0.08264462809917356
Corn meal,305.08474576271186,7.627118644067796,3.389830508474576,62.71186440677966,1.3559322033898304
Crackers,392.8571428571429,7.142857142857143,7.142857142857143,71.42857142857143,0.0
"Soda, 2 1/2 square",409.0909090909091,9.090909090909092,9.090909090909092,72.72727272727273,0.0
Farina,44.11764705882353,1.2605042016806722,0.0,9.243697478991598,3.361344537815126
Flour,418.1818181818182,35.45454545454545,20.0,30.0,2.6363636363636362
Wheat (all purpose),363.6363636363636,10.909090909090908,0.9090909090909091,76.36363636363636,0.2727272727272727
Wheat (whole),325.0,10.833333333333334,1.6666666666666667,65.83333333333334,2.3333333333333335
Macaroni,110.71428571428572,3.5714285714285716,0.7142857142857143,22.857142857142858,0.07142857142857144
Baked with cheese,215.9090909090909,8.181818181818182,11.363636363636363,20.0,0.0
Muffins,281.25,8.333333333333334,10.416666666666668,39.583333333333336,0.0
Noodles,125.0,4.375,1.25,23.125,0.0625
Oatmeal,63.559322033898304,2.11864406779661,1.271186440677966,11.016949152542372,1.949152542372881
"Pancakes 4"" diam.",231.4814814814815,6.481481481481482,8.333333333333334,25.925925925925927,0.0925925925925926
"Wheat, pancakes 4"" diam.",231.4814814814815,6.481481481481482,8.333333333333334,25.925925925925927,0.0925925925925926
"Pizza 14"" diam.",240.0,10.666666666666666,8.0,30.666666666666664,0.0
Popcorn salted,542.8571428571429,10.714285714285715,25.0,71.42857142857143,1.7857142857142858
Puffed rice,392.8571428571429,0.0,0.0,85.71428571428572,0.0
Puffed wheat presweetened,375.0,3.5714285714285716,0.0,92.85714285714286,2.142857142857143
Rice,359.61538461538464,7.211538461538462,1.4423076923076923,74.03846153846155,0.5769230769230769
Converted,362.03208556149735,7.486631016042781,0.0,75.93582887700535,0.21390374331550804
White,362.30366492146595,7.329842931937173,0.0,78.53403141361257,0.15706806282722513
Rice flakes,383.33333333333337,6.666666666666667,0.0,86.66666666666667,0.33333333333333337
Rice polish,264.0,12.0,12.0,56.0,2.4
Rolls,822.0,6.0,24.0,46.0,0.2
of refined flour,302.63157894736844,7.894736842105264,5.2631578947368425,52.631578947368425,0.0
whole-wheat,255.0,10.0,2.5,50.0,0.25
Spaghetti with meat sauce,114.0,5.2,4.0,14.0,0.2
with tomatoes and cheese,84.0,2.4000000000000004,2.0,14.4,0.2
Spanish rice,86.80000000000001,1.6,1.6,16.0,0.48
Shredded wheat biscuit,357.14285714285717,10.714285714285715,3.5714285714285716,82.14285714285715,2.5
Waffles,320.0,10.666666666666666,12.0,40.0,0.13333333333333333
Wheat germ,360.29411764705884,25.0,10.294117647058824,50.0,3.6764705882352944
Wheat-germ cereal toasted,400.0,30.76923076923077,10.76923076923077,55.38461538461539,3.8461538461538463
Wheat meal cereal unrefined,343.33333333333337,13.333333333333334,3.3333333333333335,83.33333333333334,2.3333333333333335
"Wheat, cooked",137.5,6.0,0.5,17.5,2.2
Bean soups,76.0,3.2,2.0,12.0,0.24
Beef soup,40.0,2.4000000000000004,1.6,4.4,0.2
Bouillon,10.0,2.0833333333333335,0.0,0.0,0.0
chicken soup,30.0,1.6,0.8,4.0,0.0
Clam chowder,33.333333333333336,1.9607843137254901,0.7843137254901961,4.705882352941177,0.19607843137254902
Cream soups,78.43137254901961,2.7450980392156863,4.705882352941177,7.0588235294117645,0.47058823529411764
Noodle,46.0,2.4000000000000004,1.6,5.2,0.08000000000000002
Split-pea soup,58.800000000000004,3.2,1.2000000000000002,10.0,0.2
Tomato soup,71.42857142857143,2.4489795918367347,2.857142857142857,8.979591836734695,0.20408163265306123
Vegetable,32.0,1.6,0.8,5.6000000000000005,0.0
Apple betty,150.0,1.0,4.0,29.0,0.5
Bread pudding,187.0,5.5,6.0,28.0,0.1
Cakes,275.0,7.5,0.0,57.5,0.0
Chocolate fudge,350.0,4.166666666666667,11.666666666666668,58.333333333333336,0.25
Cupcake,320.0,6.0,6.0,62.0,0.0
Fruit cake,350.0,6.666666666666667,13.333333333333334,56.66666666666667,0.6666666666666667
Gingerbread,327.27272727272725,3.6363636363636362,12.727272727272727,50.90909090909091,0.0
"Plain, with no icing",327.27272727272725,7.2727272727272725,9.09090909090909,56.36363636363636,0.0
Sponge cake,287.5,7.5,5.0,55.0,0.0
Candy,416.0,0.0,12.0,76.0,0.0
Chocolate creams,433.33333333333337,0.0,13.333333333333334,80.0,0.0
Fudge,411.11111111111114,0.0,13.333333333333334,88.88888888888889,0.11111111111111112
Hard candies,321.42857142857144,0.0,0.0,100.0,0.0
Marshmallows,326.6666666666667,3.3333333333333335,0.0,76.66666666666667,0.0
Milk chocolate,517.8571428571429,3.5714285714285716,10.714285714285715,78.57142857142857,0.3571428571428572
Chocolate syrup,200.0,0.0,0.0,55.0,0.0
Doughnuts,409.09090909090907,6.0606060606060606,21.21212121212121,51.515151515151516,0.0
"Gelatin, made with water",64.85355648535564,1.6736401673640167,0.0,15.06276150627615,0.0
Honey,285.7142857142857,0.0,0.0,71.42857142857143,0.0
Ice cream,83.33333333333333,0.0,0.0,0.0,3.333333333333333
Ices,78.0,0.0,0.0,32.0,0.0
preserves,275.0,0.0,0.0,70.0,0.0
Jellies,250.0,0.0,0.0,65.0,0.0
Molasses,225.0,0.0,0.0,55.0,40.0
Cane Syrup,250.0,0.0,0.0,65.0,0.0
"9"" diam. pie",244.44444444444443,2.2222222222222223,9.62962962962963,39.25925925925926,0.07407407407407407
Cherry Pie,251.85185185185185,2.2222222222222223,9.62962962962963,40.74074074074074,0.07407407407407407
Custard,203.84615384615387,5.384615384615385,8.461538461538462,26.153846153846157,0.0
Lemon meringue,250.0,3.3333333333333335,10.0,37.5,0.08333333333333334
Mince,251.85185185185185,2.2222222222222223,6.666666666666666,45.925925925925924,0.5185185185185185
Pumpkin Pie,203.84615384615387,3.8461538461538463,9.230769230769232,26.153846153846157,6.153846153846154
Puddings Sugar,385.0,0.0,0.0,99.5,0.0
3 teaspoons sugar,416.6666666666667,0.0,0.0,100.0,0.0
"Brown, firm-packed, dark sugar",370.45454545454544,0.0,0.0,95.45454545454545,0.0
Syrup,250.0,0.0,0.0,62.5,0.0
table blends sugar,275.0,0.0,0.0,72.5,0.0
Tapioca cream pudding,134.0,4.0,4.0,16.8,0.0
Almonds,607.1428571428571,18.571428571428573,54.285714285714285,18.571428571428573,2.5714285714285716
roasted and salted,627.1428571428571,18.571428571428573,57.142857142857146,18.571428571428573,2.5714285714285716
Brazil nuts,652.8571428571429,14.285714285714286,67.14285714285714,10.0,2.857142857142857
Cashews,560.0,17.142857142857142,45.714285714285715,28.571428571428573,1.2857142857142858
coconut sweetened,548.0,2.0,40.0,52.0,4.0
Peanut butter,600.0,24.0,50.0,18.0,1.8
"Peanut butter, natural",568.0,26.0,48.0,16.0,1.8
Peanuts,580.0,26.0,50.0,18.0,2.4
Pecans,659.6153846153846,9.615384615384615,67.3076923076923,13.461538461538462,2.1153846153846154
Sesame seeds,560.0,18.0,48.0,20.0,6.2
Sunflower seeds,560.0,24.0,52.0,20.0,3.8
Walnuts,650.0,14.0,64.0,16.0,2.0
Beer,47.5,0.0,0.0,1.6666666666666667,0.0
Gin,250.0,0.0,0.0,0.0,0.0
Wines,136.66666666666669,0.0,0.0,7.5,0.0
Table (12.2% alcohol),83.33333333333334,0.0,0.0,4.166666666666667,0.0
Carbonated drinks Artificially sweetened,0.0,0.0,0.0,0.0,0.0
Club soda,0.0,0.0,0.0,0.0,0.0
Cola drinks,39.59537572254336,0.0,0.0,10.982658959537574,0.0
Fruit-flavored soda,46.53179190751445,0.0,0.0,12.138728323699423,0.0
Ginger ale,30.34682080924856,0.0,0.0,8.092485549132949,0.0
Root beer,40.46242774566474,0.0,0.0,10.115606936416185,0.0
Coffee,1.3043478260869565,0.0,0.0,0.43478260869565216,0.0
Tea,1.7391304347826086,0.0,0.0,0.43478260869565216,0.0
